Number_of_Active_Listing,Rent,ContactInfo,Number_of_Bedrooms,Address
1,3000,(267) 481-6668,6,"1942 N 18th St # 1, Philadelphia, PA, 19121"
1,3000,Plutushen Properties LLC  (484) 471-7105,5,"1520 W Seybert St # 2, Philadelphia, PA, 19121"
1,3000,(323) 388-7195,4,"1932 N 17th St # 1A, Philadelphia, PA, 19121"
1,1850,(302) 563-6118,2,"732 Sansom St, Philadelphia, PA, 19106"
1,10500,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",1,"417 South St FL 3RD, Philadelphia, PA, 19147"
1,7000,(215) 740-0452,3,"1237 Lombard St, Philadelphia, PA, 19147"
1,6900,Keller Williams Philadelphia  (215) 370-9613,3,"1332 30 Kater St, Philadelphia, PA, 19147"
1,6900,Keller Williams Philadelphia Center City  (215) 627-3500,3,"1332 Kater St, Philadelphia, PA, 19147"
1,5900,(215) 583-7777,5,"1008 S 8th St, Philadelphia, PA, 19147"
1,5600,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",5,"614 S Front St, Philadelphia, PA, 19147"
1,4800,(215) 740-0452,4,"2327 Ellsworth St, Philadelphia, PA, 19146"
1,14000,BHHS- Fox & Roach  (215) 852-2040,5,"2001 Waverly St, Philadelphia, PA, 19146"
1,4200,"Duffy Real Estate, Inc.  (610) 667-6655",4,"416 S 23rd St, Philadelphia, PA, 19146"
1,6000,(215) 740-0452,4,"2017 Oakford St # FULLY, Philadelphia, PA, 19146"
1,4300,(215) 740-0452,3,"2038 Montrose St # FULLY, Philadelphia, PA, 19146"
1,3695,,2,"Kater St, Philadelphia, PA, 19146"
1,3600,Coldwell Banker Preferred  (215) 913-8615,3,"207 Brinley Ct, Philadelphia, PA, 19146"
1,3600,Coldwell Banker Preferred  (267) 974-1450,4,"522 S 22nd St, Philadelphia, PA, 19146"
1,3600,,4,"1922 Kimball St, Philadelphia, PA, 19146"
1,3600,,3,"606 S 19th St, Philadelphia, PA, 19146"
1,3500,Coldwell Banker Preferred  (215) 913-8615,3,"1006 S 17th St # B, Philadelphia, PA, 19146"
