Address,Number_of_Bedrooms,ZipCode,PhoneNumber,Rent,Number_of_Active_Listing,ContactInfo,Email,Info_of_Days_Vacant
"706 S Washington Sq # LL, Philadelphia, PA, 19106",0,19106,(215) 327-1552,1095,1,"MRC- Maxwell Realty Co., Inc.  (215) 327-1552",todor.dev000@gmail.com,70 days ago
"707 Chestnut St APT 4F, Philadelphia, PA, 19106",2,19106,(215) 383-1439,2395,1,TCS Management LLC  (215) 383-1439,todor.dev000@gmail.com,55 days ago
"Pine St, Philadelphia, PA, 19104",8,19104,(215) 222-2000,8296,1,(215) 222-2000,todor.dev000@gmail.com,27 days ago
"4055 Spruce St, Philadelphia, PA, 19104",8,19104,(215) 386-4200,7350,1,(215) 386-4200,todor.dev000@gmail.com,5 days ago
"2721 W Willard St, Philadelphia, PA, 19129",0,19129,(215) 778-3094,599,1,Precision Property Management  (215) 778-3094,todor.dev000@gmail.com,8 days ago
"2933 E Thompson St, Philadelphia, PA, 19134",3,19134,(215) 917-7763,4150,1,(215) 917-7763,todor.dev000@gmail.com,214 days ago
"2206 N Front St, Philadelphia, PA, 19133",,19133,(215) 756-6651,1200,1,DF Management Philadelphia LLC.  (215) 756-6651,todor.dev000@gmail.com,65 days ago
"2119 N 18th St # B, Philadelphia, PA, 19121",6,19121,(267) 797-2175,3360,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,29 days ago
"1900 N 18th St # 19492, Philadelphia, PA, 19121",5,19121,(267) 544-7368,3250,1,(267) 544-7368,todor.dev000@gmail.com,40 days ago
"1949 N 18th St # 2, Philadelphia, PA, 19121",5,19121,(484) 636-8639,3250,1,(484) 636-8639,todor.dev000@gmail.com,85 days ago
"1609 W Diamond St # 1, Philadelphia, PA, 19121",6,19121,(856) 366-0224,3150,1,Kurfiss Sotheby's International Realty  (856) 366-0224,todor.dev000@gmail.com,51 days ago
"2024 N 17th St, Philadelphia, PA, 19121",6,19121,(267) 797-2175,3150,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1945 N Gratz St, Philadelphia, PA, 19121",6,19121,(267) 476-0776,3150,1,Homeline Real Estate Inc  (267) 476-0776,todor.dev000@gmail.com,41 days ago
"1600 W Diamond St, Philadelphia, PA, 19121",5,19121,(215) 442-9388,3125,1,RE/MAX EASTERN INC  (215) 442-9388,todor.dev000@gmail.com,29 days ago
"1949 N 18th St # B, Philadelphia, PA, 19121",5,19121,(267) 847-7120,3150,1,City Wide Realty Inc.  (267) 847-7120,todor.dev000@gmail.com,2 days ago
"1537-41 Seybert St # 1537-41, Philadelphia, PA, 19121",5,19121,(267) 606-6557,3125,1,Govberg Realty  (267) 606-6557,todor.dev000@gmail.com,187 days ago
"1837 N 18th St # 2, Philadelphia, PA, 19121",4,19121,(215) 386-2578,3020,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,90 days ago
"1931 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(215) 386-2578,3020,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,34 days ago
"1723 W Montgomery Ave # 1, Philadelphia, PA, 19121",4,19121,(215) 386-2578,3020,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,103 days ago
"1606 N Bouvier St, Philadelphia, PA, 19121",6,19121,(267) 797-2175,3000,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,93 days ago
"1942 N 18th St # 1, Philadelphia, PA, 19121",6,19121,(267) 481-6668,3000,1,(267) 481-6668,todor.dev000@gmail.com,41 days ago
"1529 Fontain St, Philadelphia, PA, 19121",5,19121,(267) 797-2175,3000,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,29 days ago
"1520 W Seybert St # 2, Philadelphia, PA, 19121",5,19121,(484) 471-7105,3000,1,Plutushen Properties LLC  (484) 471-7105,todor.dev000@gmail.com,50 days ago
"1722 N Willington St, Philadelphia, PA, 19121",5,19121,(267) 312-6895,3000,1,Resident Philly LLC  (267) 312-6895,todor.dev000@gmail.com,69 days ago
"1517 Fontain St, Philadelphia, PA, 19121",5,19121,(267) 797-2175,3000,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,100 days ago
"1819 W Berks St # 2, Philadelphia, PA, 19121",6,19121,(267) 797-2175,3000,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,29 days ago
"2123 N 17th St, Philadelphia, PA, 19121",6,19121,(610) 316-9144,3000,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,117 days ago
"2120 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(856) 230-9990,2900,1,Keller Williams Philadelphia  (856) 230-9990,todor.dev000@gmail.com,69 days ago
"1928 N Gratz St # 1, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2880,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,15 days ago
"2120 N 17th St # 2, Philadelphia, PA, 19121",4,19121,(856) 230-9990,2900,1,Keller Williams Philadelphia  (856) 230-9990,todor.dev000@gmail.com,69 days ago
"2116 N 17th St # 2, Philadelphia, PA, 19121",6,19121,(267) 797-2175,2850,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,29 days ago
"2028 N 18th St APT 1, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2860,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,13 days ago
"2144 N Carlisle St, Philadelphia, PA, 19121",5,19121,(610) 316-9144,2800,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,118 days ago
"1842 W Master St # B, Philadelphia, PA, 19121",5,19121,(267) 797-2175,2750,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,54 days ago
"1623 Edgley St, Philadelphia, PA, 19121",5,19121,(610) 316-9144,2750,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,115 days ago
"1815 N 18th St # 1, Philadelphia, PA, 19121",5,19121,(267) 797-2175,2875,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,29 days ago
"2146 N Carlisle St, Philadelphia, PA, 19121",5,19121,(610) 316-9144,2800,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,118 days ago
"1721 Edgley St, Philadelphia, PA, 19121",6,19121,(267) 797-2175,2875,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,150 days ago
