Number_of_Active_Listing,Rent,ContactInfo,Number_of_Bedrooms,Address
1,400,RE/MAX EASTERN INC  (215) 442-9388,8,"2212 N Camac St, Philadelphia, PA, 19133"
1,1000,Parrella Realty and Property Management  (215) 510-0857,2,"2005 N 16th St APT 3A, Philadelphia, PA, 19121"
1,599,Precision Property Management  (215) 778-3094,0,"2721 W Willard St, Philadelphia, PA, 19129"
1,4150,(215) 917-7763,4,"2218 E Hazzard St, Philadelphia, PA, 19125"
1,3850,,4,"1360 Crease St, Philadelphia, PA, 19125"
1,3200,(267) 689-8262,3,"1455 E Columbia Ave, Philadelphia, PA, 19125"
1,500,(609) 271-8315,0,"4239 Sansom St, Philadelphia, PA, 19104"
1,1095,"MRC- Maxwell Realty Co., Inc.  (215) 327-1552",0,"706 S Washington Sq # LL, Philadelphia, PA, 19106"
1,750,(323) 388-7195,0,"3333 Spring Garden St APT 2R, Philadelphia, PA, 19104"
1,2200,Coldwell Banker Preferred  (267) 250-2347,2,"1109 South St APT C, Philadelphia, PA, 19147"
1,3500,(215) 740-0452,3,"2929 W Girard Ave # FULLY, Philadelphia, PA, 19130"
1,475,,0,"6499 Greenway Ave, Philadelphia, PA, 19142"
1,775,,0,"858 N 25th St # 2, Philadelphia, PA, 19130"
1,2950,ARH Properties  (267) 239-1801,3,"2401 Fairmount Ave # 2F, Philadelphia, PA, 19130"
1,3300,(267) 323-5228,7,"1640 S Broad St, Philadelphia, PA, 19145"
1,3200,(570) 412-3602,3,"2322 Aspen St, Philadelphia, PA, 19130"
1,3000,,4,"1631 S 22nd St, Philadelphia, PA, 19145"
1,2400,(570) 780-0016,3,"1934 Fernon St, Philadelphia, PA, 19145"
1,2300,SPACE & COMPANY  (610) 762-3183,3,"1521 Tasker St # 2, Philadelphia, PA, 19145"
1,2300,(267) 838-1778,3,"3014 S 15th St, Philadelphia, PA, 19145"
1,2199,REMAX Home Experts  (215) 327-3156,3,"1538 Mckean St, Philadelphia, PA, 19145"
1,2100,The Philly Apartment Company  (215) 495-0070,3,"2853 S Sydenham St # 3BDR, Philadelphia, PA, 19145"
1,1975,"Weichert Realtors, The Asbury Group  (215) 275-0482",2,"1929 S 17th St, Philadelphia, PA, 19145"
1,1950,Coldwell Banker Preferred  (609) 315-4894,2,"1800 S 16th St # B, Philadelphia, PA, 19145"
1,1950,Mercury Real Estate Group  (215) 292-3519,3,"W Ritner St, PHILADELPHIA, PA, 19145"
1,3200,,2,"(undisclosed Address), Philadelphia, PA, 19130"
1,1000,The Philly Apartment Company  (215) 495-0070,3,"1521 Pine St # B, Philadelphia, PA, 19102"
1,3200,(215) 510-6084,3,"1934 Forrestal St, Philadelphia, PA, 19145"
1,1950,,3,"S Napa St, Philadelphia, PA, 19145"
1,1800,"Compass Pennsylvania, LLC  (610) 745-3211",3,"2343 S Hicks St, Philadelphia, PA, 19145"
1,1850,"Compass Pennsylvania, LLC  (610) 745-3211",4,"1519 Jackson St, Philadelphia, PA, 19145"
1,1700,Keller Williams Center City  (215) 520-7225,3,"2541 S Hicks St, Philadelphia, PA, 19145"
1,1675,Keller Williams Philly  (215) 519-9388,3,"1626 S Bancroft St, Philadelphia, PA, 19145"
1,1600,(215) 465-4225,2,"1435 W Passyunk Ave FL 3RD, Philadelphia, PA, 19145"
1,1600,(215) 667-9464,3,"1433 Tasker St # 2, Philadelphia, PA, 19145"
1,1600,,3,"1434 Mckean St # 2, Philadelphia, PA, 19145"
1,1600,(215) 465-4225,2,"1536 W Passyunk Ave FL 3RD, Philadelphia, PA, 19145"
1,1650,(248) 525-8400,2,"2030 Watkins St, Philadelphia, PA, 19145"
1,1600,ALPHA REALTY GROUP   (215) 463-0777,3,"2134 S 16th St, Philadelphia, PA, 19145"
1,700,(215) 332-1700,2,"758 S 52nd St # FL2, Philadelphia, PA, 19143"
1,1100,Skylandup  (267) 385-8494,3,"1751 S 53rd St # 2ND, Philadelphia, PA, 19143"
1,4500,BHHS Fox & Roach-CC 1818 Ritte  (215) 893-9800,6,"920 S 48th St, Philadelphia, PA, 19143"
